Intikhab-e-Kalam: Syed Muhammad Jafari,"This is a representative selection of Syed Muhammad Jafari’s poems. Jafari was an Urdu language poet well known for his humorous and satirical verse. His hilarious poetry recitals at 'mushaeras' had made him very popular and his periodic appearances on TV had sent his popularity skyrocketing. But he could not collect his poetical works in book form and it was published some 10 years after his death. With publication of his second collection of poetry, Jafari's art was even more appreciated by readers and critics alike. Jafari’s wit and repartee made him hugely popular was his wit and repartee. Politicians, bureaucrats, and pseudo-religious figures were the butt of his satire. This selection from his works covers the more popular and better known poems, making it a truly hilarious critique of society.
Author Description  

Dr Rauf Parekh has an MA and PhD from the University of Karachi. He is a critic of Urdu Literature and regularly contributes to the daily Dawn, Karachi. He is a former Chief Editor of the Urdu Dictionary Board. Presently is teaching at the Department of Urdu, University of Karachi. He is the compiler of the first slang Urdu dictionary and Chief Editor of the Oxford Urdu &ndash; English Dictionary.
",PKR 160,Compiled by Rauf Parekh,9780199408764,2018,,,Paperback,,64 pages,images/9780199408764.jpg,https://oup.com.pk/new-arrivals/intikhab-e-kalam-syed-muhammad-jafari.html
Widows and Daughters,"This book outlines the so-called &lsquo;contemporary Asian matriarchate&rsquo;. In the twentieth century, six women have held the office of prime minister in South Asia. The pioneers were Sirimavo Bandaranaike of Sri Lanka, the world&rsquo;s first female prime minister, and Indira Gandhi, who headed the Government of India. They were followed by Benazir Bhutto, the Prime Minister of Pakistan, Sheikh Hasina Wajed and Begum Khaleda Zia, holders of the same position in Bangladesh, and Chandrika Kumaratunga, the Sri Lankan President. Why should countries so long associated with patriarchy and the subordination of women be the focus for so many politically prominent females? The analysts attribute it simply to inheritance as each of these women was a widow or daughter of a slain male national leader. Women have tended to move into top position of power under the most dramatic circumstances&mdash;as a result of military coups, attempted murder, and assassination. This book tries to unravel the question of how these six women have managed to take power and how they have been able to exploit to their benefit the traditions of sexuality, motherhood, and kinship in South Asia.
Author Description  

Anna Suvorova is the author of several books including Masnavi: A Study of Urdu Romance (OUP, 2000), Muslim Saints of South Asia: The Eleventh to Fifteenth Century (London; New York: Routledge, 2004, 2011), Early Urdu Theatre: Traditions and Transformations (Lahore: NCA Publications, 2009), Lahore: Topophilia of Space and Place (OUP, 2011), and Benazir Bhutto: A Multidimensional Portrait (OUP, 2015). Since 1972, she has worked at the Institute of Oriental Studies (Russian Academy of Sciences), currently as the Head of the Department of Asian Literatures. In 2009, she was conferred Sitara-i-Imtiaz by the President of Pakistan for her contribution to research of Pakistani Cultural Heritage.
","PKR 1,495","Gender, Kinship, and Power in South Asia

Anna Suvorova </br>Translated by Daniel Dynin",9780199408672,2019,,,Paperback,,316 pages,images/9780199408672.jpg,https://oup.com.pk/new-arrivals/widows-and-daughters.html
The Ball that Ran Away,"The red ball is lonely and unhappy on a shop shelf. It thinks it will be happy when it is bought and taken home by a young boy – but it finds that life in the outside world is not easy for a ball. In fact, life is so painful that the ball runs away. Will it finally find peace or will it continue to get into trouble everywhere?
Author Description  

Cheryl Rao has written over forty books for children of all ages, several of which have been published by OUP.
",PKR 185,Cheryl Rao,9780199408504,,,,Paperback,,,images/9780199408504.jpg,https://oup.com.pk/new-arrivals/the-ball-that-ran-away.html
The Tastiest Gulab Jamun in the world,"Dadi is an amazing cook and Saira and Aamir love her crisp Jalebis, her smooth round Laddoos and melt-in-themouth Halwa. The only sweet that Dadi refuses to make are Gulab Jamuns.  

Then the Gulab Jamming competition comes to town. Dadi agrees to forget the sad memories of another competition to make Gaulab Jamuns again. Of course, Aamir and Saira are happy. But the decision brings an unexpected result for their grandmother, and proves, yet again, that she makes the tastiest Gulab Jamuns in the world.
Author Description  

Nandini Nayar is an award-winning children&rsquo;s writer. She has written for children of all ages and has published picture books, short stories, retellings, and novels.
",PKR 250,Nandini Nayar,9780199405947,,,,Paperback,,,images/9780199405947.jpg,https://oup.com.pk/new-arrivals/the-tastiest-gulab-jamun-in-the-world.html
Pakistan’s Agenda for Economic Reforms,"Providing a non-technical understanding of weak economic growth and performance of the public sector in Pakistan relative to that of peer countries, this book serves as an interesting introduction to policymakers, journalists, and civil society organizations interested in carrying out research and advocacy work towards improving economic governance in the country. Delving one step ahead from recent literature on Pakistan’s economy, the author focuses on why reform of institutions dealing with economic policy regulation and management is imperative, while simultaneously identifying pending structural reforms that Pakistan’s economy could pursue for inclusive growth and social justice. Exploring the fragmented structure of tax revenue mobilization, public expenditure management, energy governance, trade and transit framework, and the labour market, this book serves as an important resource for readers wishing to have an understanding of economic challenges and reform options.
Author Description  

Vaqar Ahmed is Joint Executive Director at the Sustainable Development Policy Institute (SDPI). He has served at UNDP, and has undertaken assignments with the Asian Development Bank, World Bank Group, and Ministries of Finance, Planning, and Commerce in Pakistan. He holds a PhD in Economics with a focus on public finance and international trade reforms. He has published in areas such as macroeconomic modeling, inclusive growth and infrastructure reforms, trade and taxation policies, regional trade agreements, trade in services, energy governance, border-related trade infrastructure, youth employment, and social safety nets.  

He is a visiting faculty member and researcher in different international institutes, including the University of Le Havre in France, National University of Ireland, IMT Institute of Advanced Studies in Italy, Rural Economy Research Centre of Ireland, and National University of Sciences and Technology in Pakistan.
",PKR 895,Vaqar Ahmed,9780190700157,2018,,,Paperback,,364 pages,images/9780190700157.jpg,https://oup.com.pk/new-arrivals/pakistan-s-agenda-for-economic-reforms.html
Intikhab-e-Kalam: Iftikhar Arif,"This is a representative selection of the works of vetern poet Iftikhar Arif. Arif&rsquo;s poetry laments the loss of moral values and speaks contemptuously of the greed, hypocrisy, and callousness that mar our society today. However, he sees the social and political milieu in a wider historical perspective. He has published three collections of poetry: Mehr-i-do neem (1984), Harf-i-baryab (1994) and Jahan-i-maaloom (2005). His collected works, Kitab-i-dil-o-dunya, was published in 2009.
Author Description  

Prof. Dr Abdul Aziz Sahir is a distinguished Pakistani critic and researcher in Urdu literature. Currently he is serving as Chairman, Department of Urdu, Allama Iqbal Open University, Islamabad. He has also compiled Intikhab-e-Kalam: Asghar Gondvi, also published by Oxford University Press Pakistan.
",PKR 160,Compiled by Abdul Aziz Sahir,9780199409945,2018,,,Paperback,,64 pages,images/9780199409945.jpg,https://oup.com.pk/new-arrivals/intikhab-e-kalam-iftikhar-arif.html
Talmeehat,"Talmeehaat means 'Allusions' figures of speech or litrary devices referringindirectly or in an implied manner to an object, a historic event, figure, legend, or personality. Allusions play a vital role in eastern literary traditions and are used in abundance in Arabic, Persian, Hindi and Urdu literary texts. Since in Urdu literature the readers, especially the young ones, may not be fully aware of the objects or figures that are alluded to, some sort of explanatory notes/guidance are often needed. This book, first published some 90 years ago, is still relevant today and has some rare allusions richly and finely explained as it includes all the relevant allusions used in Urdu including the ones taken form Persian, Arabic, and Hindi.   The foreword and the annotations of this volume, both penned by Dr Rauf Parekh, introduce the reader to the allusions, the original work, and the author in a reader friendly manner.
Author Description  

Waheeduddin Saleem (1867-1928) was a scholar of Urdu, Persian, Arabic, and Hindi, especially known for his contribution to Urdu linguistics. With a knack for coining words and translating technical and literary terms from different languages, Saleem is regarded as an authority on word meanings and usage. Some of his works, describing the principles of coinages, are still part of curricula at different universities.  

</br>

Dr Rauf Parekh has an MA and PhD from the University of Karachi. He is a critic of Urdu Literature and regularly contributes to the daily Dawn, Karachi. He is a former Chief Editor of the Urdu Dictionary Board. He currently teaches at the Department of Urdu, University of Karachi. He is the compiler of the first slang Urdu dictionary and Chief Editor of the Oxford Urdu &ndash; English Dictionary.
",PKR 250,"Waheeduddin Saleem 
Editor: Rauf Parekh",9780199408993,2018,,,Paperback,,120 pages,images/9780199408993.jpg,https://oup.com.pk/new-arrivals/talmeehat.html
"Rani, The Beautiful Swan","Rani is a beautiful swan living in a big pond. She loves visitors coming to her park and feeding her popcorn, but sometimes they litter and make Rani's pond dirty! Can these visitors learn an important lesson?
Author Description  

Maheen Zeeshan is a primary teacher in the Middle East, a content writer, and the mother of two kids. She draws her inspiration for stories from her children.
",PKR 175,Maheen Zeeshan,9780199405930,,,,Paperback,,,images/9780199405930.jpg,https://oup.com.pk/new-arrivals/rani-the-beautiful-swan.html
Qurratulain Hyder: Zindagi aur Fann,"This book is about the life and writings of Qurratulain Hyder, one of the most influential Urdu novelists and short story writers, who was also an academic and a journalist. She is best known for her magnum opus, Aag Ka Darya (River of Fire), a novel first published in Urdu in 1959 from Lahore, Pakistan. This epic work stretches from the 4th century BC to after the partition of India. Popularly known as ""Ainee Apa"" among her friends and admirers, she was the daughter of the pioneering Urdu short story writer Sajjad Haidar Yildarim (1880&ndash;1943). Her mother, Nazar Zahra, who wrote at first as Bint-i-Nazrul Baqar and later as Nazar Sajjad Hyder (1894&ndash;1967), was also an author. Qurratulain Hyder received the 1967 Sahitya Akademi Award in Urdu for Patjhar Ki Awaz (Short stories), the 1989 Jnanpith Award for Akhir-e-Shab Ke Humsafar, and the highest award of the Sahitya Akademi, India's National Academy of Letters, the Sahitya Akademi Fellowship in 1994. She also received the Padma Bhushan from the Government of India in 2005.
Author Description  

Dr Jameel Akhtar, a renowned literary personality of India and OUPP author, was born in Darbhanga, Bihar. He received a PhD in Urdu from Jawaharlal Nehru University, Delhi. He did his M Phil and MA also from JNU. He has authored over twenty- five books, such as Isharya Aaj Kal in two volumes, which is one of the first of its kind in Urdu. His Dictionary of Mass Media Terms, is again one of the first mass media lexicons in Urdu. His publictions include Kulliyat Qurratulain Hyder in four volumes, and Kulliyat Balwant Singh in eight volumes. Numerous articles by him have also appeared in different journals of India and Pakistan. The recipient of numeroud awards for his writings, Dr Akhtar has also been a regular broadcaster over All India Radio and has presented many programmes on TV as well. His previous book Andaz-e-Bayan Aur (Interview with Qurratulain Hyder) was published by OUP Pakistan in 2015.
",PKR 450,Jameel Akhtar,9780199405022,2018,,,Paperback,,224 pages,images/9780199405022.jpg,https://oup.com.pk/new-arrivals/qurratulain-hyder-zindagi-aur-fann.html
Graphic Stories: Perween Rahman,"Perween Rahman is an addition to the series of Graphic Stories based on the life of prominent Pakistanis, published by Oxford University Press, Pakistan. More titles, each describing the life of a great Pakistani, follow in this series which will be available in both English and Urdu.
Author Description  

Amina Azfar is a freelance writer, translator, and editor who has authored textbooks and storybooks for children in English and Urdu.
",PKR 235,Amina Azfar,9780199407873,,,,Paperback,,,images/9780199407873.jpg,https://oup.com.pk/new-arrivals/graphic-stories-perween-rahman.html
